"botname","comname","variety","growtype","method","wks_blf","sowdepth","space","life","light","comt1","comt2"
"Echinacea pallida","Pale purple coneflower","pale pink","orn","9 wks @ 39 , move to 50  for germ.",-13,"covr",10,"Perennial","fsun","grow cool, 50",
"Eupatorium greggii","Palmleaf thoroughwort",,"orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F in lite",-5,"surf",12,"Perennial","fsun",,
"Celosia argentea 'plumosa'","Pampas plume","red","orn","<2 wks @ 75 F in lite, rapid germ.",-4,"surf",12,"Annual","fsun","Set out celosias 2 weeks after last frost","grow cool"
"Koelreuteria paniculata","Panicled Goldenraintree","yellow","tree","nick and soak, 12 wks @ 39 F, germ. @ 68 F",-11,"thin",240,"Perennial","fsun","30 to 40', choice specimen tree",
"Viola wittrockiana","Pansy","Bingo blue w/blotch","orn","<2 wks @ 68 F in dark, rapid germ.",-10,"thin",10,"Annual","fsun","fsun to part shade is ok","grow cool, 50-55"
"Petroselinum neapolitum","Parsley","Italian flat leaf","herb","soak seed, sow outdoors <2 wks @ 68 F, rapid germ.",-2,"covr",10,"Biennial","fsun","grow cool",
"Pulsatilla albana v. lutea","Pasque flower","pale yellow","orn","2-4 wks @ 68 F, 4-6 wks @ 21 F, move to 53 F for germ.",25,"surf",8,"Perennial","psha","ferny foliage, dry soil, sharp drainage",
"Pulsatilla vulgaris rubra","Pasque flower","red","orn","sow outdoors, <2 wks @ 68 F, rapid germ.",4,"thin","clump","Perennial","fsun","germinates in the fall, sow fresh only",
"Patrinia gibbosa","Patrinia","yellow","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-8,"surf",8,"Perennial","fsun","short lived in dry storage",
"Pisum sativum","Pea","Maestro","vege","sow outdoors, <2 wks @ 68 F, rapid germ.",-5,"covr",3,"Annual","fsun",,
"Campanula persicifolia","Peachleaf bellflower","blue","orn","<2 wks @ 68 F in lite, rapid germ.",-7,"surf",24,"Perennial","psha","evergreen to zone 3","grow cool"
"Campanula persicifolia alba","Peachleaf bellflower","white","orn","<2 wks @ 68 F in lite, rapid germ.",-7,"surf",24,"Perennial","psha","evergreen to zone 3","grow cool"
"Cotoneaster acutifolius","Peking cotoneaster","pink","shrub","wash seed, Sow outdoors in fall, slow germ. up to 18 months",25,"covr",180,"Perennial","fsun","well drained, loose, fertile soil","dull green hairy foliage, black berries"
"Capsicum annuum","Pepper, hot","Mexi-bell","vege","<2 wks @ 72 F in lite, rapid germ.",-7,"surf",24,"Annual","fsun",,"grow cool"
"Capsicum annuum","Pepper, orn.","Christmas pepper","vege","<2 wks @ 72 F in lite, rapid germ.",-7,"surf",30,"Annual","fsun",,"grow cool"
"Catharanthus roseus (vinca)","Periwinkle ","Little blanche","orn","3 days @ 80 F, move to 75 F in dark,  rapid germ.",-10,"thin",6,"Annual","fsun","transplant 2 to 4 wks after last frost to full sun",
"Centaurea dealbata","Persian cornflower","violet","orn","<2 wks @ 68 F, rapid germ.",-6,"thin",8,"Perennial","fsun",,
"Petunia grandiflora","Petunia","red","orn","<2 wks @ 77 F in lite, rapid germ.",-10,"surf",10,"Annual","fsun","grow cool, 55-60",
"Leycesteria formosa","Pheasant berry","purple","shrub",">2 wks @ 63 F, slow germ. 30-60d",-6,"thin",18,"Perennial","fsun","solitaire plant, 6x5ft",
"Lilium philippinense","Philippine lily","white/red streaks","orn","4 wks @ 68 F, 4 wks @ 39 , move to 50  for germ.",-15,"surf",12,"Perennial","fsun","must be kept moist at all times","repeat cycle if necessary"
"Scabiosa caucasica","Pincushion flower","blue, white","orn","<2 wks @ 63 F, rapid germ.",-6,"covr",9,"Perennial","fsun",,"grow cool, 50-55"
"Polemonium pauciflorum","Pine trumpets","yellow","orn",">2 wks @ 68 F, slow germ.",-7,"covr",18,"Perennial","psha","keep soil moist",
"Lopezia racemosa","Pink brush","pink","orn","<2 wks @ 68 F, rapid germ.",-4,"thin",8,"Herbaceous perennial","fsun","needs winter protection",
"Euchardia breweri","Pink ribbons","pot plant","house","<2 wks @ 68 F, rapid germ.",-1,"thin",6,"Herbaceous","psha","pot plant to 12""",
"Dianthus amurensis 'siberian blues'","Pinks","blue","orn","<2 wks @ 68 F, rapid germ.",-7,"surf",8,"Perennial","psun","keep soil moist, grow cool, 55-58","requires elevated alkaline levels in soil"
"Dianthus deltoides","Pinks","brilliancy","orn","<2 wks @ 68 F, rapid germ.",-7,"surf",8,"Perennial","psun","keep soil moist, grow cool, 55-58","requires elevated alkaline levels in soil"
"Dianthus knappii","Pinks","yellow","orn","<2 wks @ 68 F, rapid germ.",-12,"thin",6,"Perennial","psha","keep soil moist, grow cool, 55-58","requires elevated alkaline levels in soil"
"Coreopsis tinctoria","Plains coreopsis","red/yellow","orn","<2 wks @ 68 F in lite, rapid germ., may benefit from kno3",-5,"surf",9,"Annual","fsun","will continue to bloom if kept very moist","almost a bog plant, grow cool, 55"
"Eryngium planum","Plains eryngo","steel blue","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-10,"thin",6,"Biennial","fsun","zone 6, 60-80 cm",
"Saccharum ravennae","Plume grass",,"grass","Extract tiny black seeds from pods first, <2 wks @ 68 F, rapid germ.",-6,"thin","clump","Perennial","fsun","moist, rich soil","zone 6, syn=Erianthus"
"Limnanthes douglassii","Poached egg plant","yellow","orn","<2 wks @ 68 F, rapid germ.",-6,"thin",10,"Annual","fsun","to 6"", vigorous self sower",
"Asclepias exaltata","Poke milkweed","green & white","orn","4 wks @ 39 F in moist sand, move to 68 F for germ.",-10,"thin",10,"Perennial","fsun","needs well drained soil, tolerates drought","examine every week for aphids, grow cool"
"Polemonium 'purple rain'","Polemonium yezoense v. hidaka","blue","orn",">2 wks @ 68 F, slow germ.",-7,"covr",18,"Perennial","psha","keep soil moist",
"Calendula officinalis","Pot marigold","orange & yellow","orn","sow outdoors, <2 wks @ 68 F in dark, rapid germ.",-1,"covr",10,"Herbaceous","fsun","grow cool",
"Heuchera richardsonii","Prairie alumroot",,"orn","12 wks @ 39 F, move to 68 F for germ.",-12,"surf",12,"Perennial","psun","grow cool, 55",
"Liatris pycnostachya","Prairie blazing star","cattail gayfeather","orn","12 wks @ 39 F, move to 68 F for germ.",-15,"surf",12,"Perennial","fsun","to 5 ft tall, Jy - S bloom"," many empty seeds, grow cool, 50"
"Ratibida pinnata","Prairie coneflower","yellow","orn","9 wks @ 39 F, move to 80 F for germ.",-13,"covr",8,"Annual","fsun",,
"Sporobolis heterolepsis","Prairie dropseed",,"grass",">2 wks @ 68 F, slow germ., 60 days",-7,"thin","clump","Perennial","fsun","to 2 or 3 ft., A - O bloom, dry rocky soil","zone 3"
"Cacalia tuberosa","Prairie Indian plantain",,"orn","12 wks @ 39 F, move to 68 F for germ.",-12,"thin",10,"Perennial","fsun",,
"Sidalcea malvaflora","Prairie mallow","pink","orn","<2 wks @ 60 F, rapid germ.",-4,"covr",12,"Perennial","psun",,
"Asclepias sullivantii","Prairie milkweed","light purple","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-10,"thin",10,"Perennial","fsun","needs well drained moist soil, tolerates drought","examine every week for aphids, grow cool"
"Geum triflorum","Prairie smoke","red","orn","6 wks @ 39 F, move to 68 F for germ.",-10,"thin","clump","Perennial","fsun","requires 6 mo DS",
"Oenothera pilosella","Prairie sundrops","yellow","orn",">2 wks @ 55-60 F, slow germ.",-5,"thin",10,"Perennial","fsun","to 3 ft tall, M - J bloom",
"Abrus precatorius","Prayer beads","yellow","vine","nick and soak, <2 wks @ 59 F, rapid germ.",-6,"covr",18,"Annual","fsun","vine to 30 ft., requires string or wire",
"Oenothera versicolor","Primrose","Sunset boulevard","orn",">2 wks @ 55-60 F, slow germ.",-5,"thin",10,"Perennial","fsun",,
"Primula florindae","Primrose","lemon-yellow","orn",">2 wks @ 68 F in light, slow germ.",-6,"surf",12,"Perennial","psha","fsun if soil always moist",
"Primula frondosa","Primrose","rose-lilac","orn",">2 wks @ 68 F, slow germ.",-6,"surf",12,"Perennial","psha","fsun if soil always moist",
"Primula japonica","Primrose",,"orn"," 4-6 wks @ 39 F, move to 70 F for germ.",-14,"surf",12,"Perennial","fsha",,"responds to  2% KNO3 and 500 to 1000 ppm GA-3"
"Primula sieboldii","Primrose","blue","orn","12 wks @ 39 F, move to oscillating 60 to 80 F for germ., recycle",-18,"surf",12,"Perennial","fsha",,"responds to GA-3"
"Agastache pringlei","Pringle's giant hyssop","purple","orn",">2 wks @ 68 F, slow germ",-12,"thin",10,"Perennial","fsun",,
"Rhodochiton atrosanguineum","Purple bell vine",,"vine",">2wks @ 60 F, slow germ.",-8,"surf",8,"Annual","fsun",,
"Cytisus purpureus","Purple broom","pink/white","shrub","nick and soak, >2 wks @ 68 F, slow germ.",-4,"covr",18,"Perennial","fsun","puncture seed",
"Digitalis purpurea v. nevadense","Purple foxglove","purple","orn","<2 wks @ 63 F in lite, rapid germ.",-6,"surf",15,"Biennial","psha","fresh seed only","grow cool, 55-60"
"Agastache scrophulariaefolia","Purple giant hyssop","purple (varies)","orn","8 wks @ 39 F, move to 68 F for germ.",-12,"thin",10,"Perennial","fsun",,
"Lythrum virgatum","Purple loosestrife","'rose queen'","orn","3-4 wks @ 68 Fin lite, if no germ., 2-4 wks @ 39 F, then 68 F ",-6,"surf",24,"Perennial","fsun",,
"Lythrum virgatum","Purple loosestrife","'mordens purple'","orn","3-4 wks @ 68 Fin lite, if no germ., 2-4 wks @ 39 F, then 68 F ",-6,"surf",24,"Perennial","fsun",,
"Eryngium bourgatii","Pyrenean eryngo","blue","orn","2-4 wks @ 68 F, 4-6 wks @ 39 , move to 53  for germ.",-18,"thin",6,"Perennial","fsun","rock garden",
"Briza maxima","Quaking grass",,"orn","<2 wks @ 68 F, rapid germ.",-6,"thin","clump","Annual","fsun",,
"Daucus carota","Queen Anne's lace","white","orn","sow outdoors, <2 wks @ 68 F, rapid germ.",5,"covr",2,"Herbaceous","fsun","requires deep soil",
"Petrea volubilis","Queen's wreath","pink","vine","<2 wks @ 75 F, rapid germ.",-5,"covr",12,"Herbaceous perennial","fsun",,
"Chaenomeles japonica","Quince, dwarf","Maule's quince","shrub","wash seed, sow outdoors, 2-4 wks @ 68 F, 4-6 wks @ 21 F, move to 53 F for germ.",25,"covr",72,"Perennial","fsun",,"3ft x 6ft, not for private landscape"
"Chenopodium quinoa","Quinoa","orange","grain","<2 wks @ 68 F, rapid germ.",-4,"covr",12,"Annual","fsun","soapy film must be scrubbed from grain ","film is called saponin"
"Raphanus sativus","Radish","5 variety blend","vege","sow outdoors, <2 wks @ 50 F, rapid germ.",-3,"covr",2,"Annual","fsun","best variety tried",
"Oenothera laciniata","Ragged Evening primrose","pale yellow","orn",">2 wks @ 55-60 F, slow germ.",-5,"thin",10,"Annual","fsun","to 2 ft tall, M - J bloom",
"Eryngium yuccafolium","Rattlesnake master","white","orn","12 wks @ 39 F, move to 68 F for germ.",-13,"thin",12,"Perennial","fsun","set out in second spring",
"Amaranthus cruentus 'hot bisquit'","Red amaranth","tan","orn","<2 wks @ 72 F, rapid germ.",-2,"thin",12,"Annual","fsun",,"grow cool"
"Amaranthus cruentus 'split personality'","Red amaranth","red/cream","orn","<2 wks @ 72 F, rapid germ.",-2,"thin",12,"Annual","fsun",,"grow cool"
"Penstemon digitalis 'husker red'","Red beardtongue","lavender & pink","orn","Surface sow   8 wks @ 40 F (4 C), needs light for germ.",-18,"surf",8,"Perennial","psun","plant en masse","all penstemons prefer dry soil"
"Glaucium corniculatum","Red horned poppy","crimson","orn","sow outdoors in situ in spring",-2,"thin",8,"Perennial","fsun","to zone 6, sharp drainage",
"Kniphofia uvaria","Red hot poker","red/yellow","orn","<2 wks @ 68 F in lite, rapid germ.",-7,"surf",15,"Perennial","fsun","Divide older clumps, moist soil, grow cool","reaches full flowering potential in 3rd year"
"Phytolacca octandra","Red Inkplant","white","orn","2-4 wks @ 68 F, 4-6 wks @ 39 , move to 53  for germ.",-18,"thin",12,"Perennial","fsun",,
"Trifolium rubens","Red trefoil","red","orn","<2 wks @ 68 F, rapid germ.",-5,"covr",8,"Perennial","fsun","20 cm",
"Phalaris arundinacea f. variegata","Ribbon grass",,"grass","Sow @ 39 F, germ. erratic, often many months",-18,"covr","clump","Perennial","psha","moist, rich soil","zone 4"
"Symphyandra hoffmanii","Ring bellflower","cream","orn","<2 wks @ 68 F in lite, rapid germ.",-5,"surf",15,"Perennial","fsun","z4",
"Symphyandra pendula","Ring bellflower","cream","orn","<2 wks @ 68 F in lite, rapid germ.",-5,"surf",15,"Perennial","fsun","z4",
"Tanacetum demetrii","Rock garden tansy","yellow/white","orn","<2 wks @ 68 F, rapid germ.",-7,"thin",12,"Perennial","psun",,"grow cool, 55-60"
"Penstemon rupicola","Rock penstemon",,"orn","Surface sow 8 wks @ 40 F (4 C), move to 70 F for germ. under light",-18,"surf",8,"Perennial","fsun","2 ft. tall, rocky cliffs, slides, and sandy washes","sprawls broadly"
"Veronica fruticans","Rock speedwell","blue/red eye","orn","3-4 wks @ 68 F in lite, if no germ., 2-4 wks @ 39 F, then 68 F ",-10,"surf",6,"Perennial","fsun","rock garden, needs lite for germ.","5-15 cm."
"Penstemon strictus 'bandera'","Rocky Mountain penstemon","blue to purple","orn","Surface sow 12 wks @ 40 F (4 C), needs light for germ.",-18,"surf",8,"Perennial","fsun","2 x 2, spreading, meadow garden",
"Lychnis coronaria ","Rose campion","rose","orn","<2 wks @ 68 F in lite, rapid germ.",-8,"surf",10,"Perennial","fsun","grow cool, 50",
"Silene coeli-rosea","Rose of heaven","pink","orn","3-4 wks @ 68 F in lite, if no germ., 2-4 wks @ 39 F, then 68 F ",-12,"surf",8,"Herbaceous","psha"," grows to 4 feet","best in the wild garden"
"Hibiscus syriacus","Rose of sharon","Magenta rose/red eye 4","orn","sow outdoors, <2 wks @ 68 F, rapid germ.",-1,"covr",24,"Perennial","fsun",,
"Arabis blepharophylla 'spring magic'","Rose rockcress","crimson","orn","<2 wks @ 68 F in lite, rapid germ.",-6,"surf",6,"Perennial","psun","grow cool, 50-55, PM shade","15 cm, well drained in winter, protect with mulch"
"Rosmarinus officinalis","Rosemary",,"herb","<2 wks @ 68 F in lite, rapid germ.",0,"surf",12,"Perennial","psun","indoors during winter","grow cool, 55-58"
"Acroclinium roseum","Rosy sunray","pink w/yel ctr","orn","sow outdoors, <2 wks @ 72 F, rapid germ.",-1,"thin",10,"Annual","fsun","good cut flower, grow cool",
"Liatris aspera","Rough blazing star","purple-red","orn","12 wks @ 39 F, move to 68 F for germ.",-15,"surf",12,"Perennial","fsun",,
"Prenanthes aspera","Rough rattlesnakeroot",,"orn","6 wks @ 39 F, move to 68 F for germ.",-12,"surf",12,"Perennial","fsun",,
"Carex muricata","Rough sedge",,"grass","4 wks @ 68 F, 4 wks @ 39 , move to 53  for germ.",-12,"covr","clump","Perennial","fsun",,
"Allium sphaerocephalum","Round headed leek","purple/red","orn",">2 wks @ 68 F, slow germ",-8,"thin","clump","hbb","fsun",,
"Ononis rotundifolia","Round leafed restharrow","white with pink","shrub","nick and soak, <2 wks @ 68 F, rapid germ.",-8,"thin",12,"Perennial","fsun","zone 7",
"Saxifraga rotundifolia","Round leaved saxifrage","white","orn",">2 wks @ 68 F, slow germ.",-7,"surf",12,"Perennial","psha",,
"Heuchera cylindrica 'green finch'","Roundleaf alumroot","sulphur-green","orn","<2 wks @ 68 F in lite, rapid germ.",-9,"surf",12,"Perennial","psun","grow cool, 55",
"Silene regia","Royal catchfly","red","orn","3-4 wks @ 68 F in lite, if no germ., 2-4 wks @ 39 F, then 68 F ",-12,"surf",8,"Perennial","psha"," grows to 4 feet",
"Ruta graveolens","Rue","yellow","herb","<2 wks @ 68 F, rapid germ.",-2,"thin",12,"Perennial","fsun",,
"Solanum integrifolium","Ruffled tomato","large red/orange","orn","<2 wks @ 68 F, rapid germ.",-7,"surf",24,"Annual","fsun","requires strong cage","grow cool"
"Perovskia atriplicifolia","Russian sage","purple","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-10,"thin",20,"Perennial","fsun","protect crown w/ mulch in winter","draught tolerant"
"Digitalis ferruginea","Rusty foxglove",,"orn","<2 wks @ 68 F in lite, rapid germ.",-4,"surf",12,"Biennial","fsun",,
"Phlomis russeliana","Sage","pale yellow","orn","<2 wks @ 68 F, rapid germ.",-6,"covr",20,"Herbaceous perennial","psha","3 - 5 ft high to zone 7",
"Salvia bulleyana","Sage","yellow/purple lips","herb","3-4 wks @ 68 Fin lite, if no germ., 2-4 wks @ 39 F, then 68 F ",-3,"surf",10,"Perennial","fsun","2 ft high in flower, zone 6, from china","grow cool"
"Salvia hians ","sage",,"orn","<2 wks @ 68 F in light, rapid germ.",-6,"thin",8,"Perennial","psun",,
"Salvia jurisicii","sage",,"orn",">2 wks @ 68 F in light, slow germ.",-6,"thin",8,"Perennial","psun","40-60 cm, bee plant",
"Salvia miltiorrhiza","Sage",,"orn","3-4 wks @ 68 Fin lite, if no germ., 2-4 wks @ 39 F, then 68 F ",-2,"surf",15,"Perennial","fsun",,
"Salvia nemorosa  ","Sage","purple","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-5,"thin",6,"Perennial","fsun",,
"Salvia officinalis","Sage","Culinary","herb","3-4 wks @ 68 F in lite, if no germ., 2-4 wks @ 39 F, then 68 F ",-1,"surf",15,"Perennial","fsun","grow cool, 55-58",
"Salvia regeliana","Sage","blue","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-6,"thin",10,"Perennial","fsun",,
"Salvia sp ex Pamirs","Sage","blue/white","orn","3-4 wks @ 68 Fin lite, if no germ., 2-4 wks @ 39 F, then 68 F ",-2,"surf",15,"Perennial","fsun",,
"Gaultheria shallon","Salal",,"shrub","wash seed, <2 wks @ 68 F in lite, rapid germ.",-12,"surf",36,"Perennial","psha","4ft x 3ft, needs lime-free moist soil","acid soil"
"Allium scorodoprasum ssp. 'jajlae'","Sand leek","purple","orn","2 wks @ 39 F, move to 68 F for germ.",-10,"covr","clump","Perennial","fsun",,
"Eragrostis trichodes","Sand lovegrass",,"grass","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F in light",-8,"surf","clump","Perennial","fsun","sandy, rich soil, needs staking when in flower","zone 5"
"Sanvitalia procumbens","Sanvitalia","Mandarin orange","orn","<2 wks @ 68 F, rapid germ.",-4,"thin",12,"Annual","fsun","87 AAS winner, 8 to 10 "" height","grow cool"
"Serratula tinctoria","Saw-wort","red-purple","orn",">2 wks @ 68 F, slow germ.",-6,"thin",6,"Perennial","fsun",,
"Penstemon alpinus","Sawsepal penstemon","blue to red violet","orn","sow in pots outdoors on Jan 1st for germ. in Apr. or May",-18,"thin",8,"Perennial","fsun",,"all penstemons prefer dry soil"
"Monarda didyma","Scarlet beebalm","violet","orn","<2 wks @ 60 F in lite, rapid germ.",-7,"surf",12,"Perennial","psha","sensitive to mildew, spreader","prefer moist soils"
"Potentilla thurberi","Scarlet cinquefoil","dark red","orn","<2 wks @ 68 F in lite, rapid germ.",-6,"surf",6,"Perennial","fsun","Demands full sun and sharp drainage","Don't overwater seedlings"
"Salvia coccinea","Scarlet sage","bonfire","orn","3-4 wks @ 68 Fin lite, if no germ., 2-4 wks @ 39 F, then 68 F ",-6,"surf",10,"Annual","psha",,"grow cool, pinch"
"Onopordum acanthium","Scotch cottonthistle","purple","orn","6 months @ 39 F, then 72 F",25,"covr",30,"Biennial","fsun","solitaire plant, well drained soil","to 7 ft. tall, prickly, attractive silver grey leaves & stems"
"Scutellaria velenovskyi","Scullcap",,"orn","wc 2 d, 6 wks @ 39 F, >60 F",-8,"surf",10,"Perennial","fsun","sharp drainage mix, sow seeds between thin layers of grit","screen out fine particles from grit, change solution ea. 12 h"
"Eryngium maritimum ","Sea holly","pale blue","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-8,"thin",6,"Perennial","fsun","zone 6","(caeruleum)"
"Ornithogalum pyrenaicum","Sea onion","white","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-7,"covr",18,"Annual","fsun",,
"Solidago sempervirens","Seaside goldenrod","yellow","orn","<2 wks @ 50 F, rapid germ.",-9,"thin",12,"Perennial","fsun",,
"Ludwigia alternatifolia","Seedbox","yellow","orn","6 wks @ 39 F, move to 68 F for germ.",-12,"surf",12,"Perennial","fsun",,
"Prunella grandiflora","Self heal","pagoda","herb","<2 wks @ 68 F, rapid germ.",1,"covr",8,"Perennial","psun","to 1 foot, purple flowers","ALSO alba, carminea, & rubra"
"Rhynchosia phaseoloides","Semilla de chintallahua","reddish yellow","vine","nick coat, <2 wks @ 77 F, rapid germ.",-9,"thin",12,"Annual","fsun","Do not soak seed","cut short & overwinter indoors"
"Sesamun indicum","Sesame","bluish white","herb","sow outdoors, <2 wks @ 68 F, rapid germ.",-2,"covr",12,"Annual","fsun",,
"Seseli elatum ssp. osseum","Seseli","white","orn","<2 wks @ 68 F, rapid germ.",-5,"thin",8,"Perennial","fsun",,
"Seseli gracile","Seseli","white","orn",">2 wks @ 68 F, slow germ",-5,"thin",8,"Perennial","fsun",,
"Seseli gummiferum","Seseli","white","orn",">2 wks @ 68 F, slow germ",-5,"thin",8,"Perennial","fsun","Jelitto says 39 F erratic",
"Seseli montanum","Seseli","white","orn",">2 wks @ 68 F, slow germ",-5,"thin",8,"Perennial","fsun",,
"Seseli rigidum","Seseli","white","orn",">2 wks @ 68 F, slow germ",-5,"thin",8,"Perennial","fsun",,
"Leucanthemum x superbum","Shasta daisy","white","orn","<2 wks @ 68 F in lite, rapid germ.",-5,"surf",12,"Perennial","fsun","bloom second year, to 2  ft tall, M - A bloom","grow cool, 55-60"
"Papaver rhoeas","Shirley poppy","whites/reds mixed singles/doubles","orn","sow outdoors, <2 wks @ 60 F in dark, rapid germ.",-1,"covr",6,"Annual","fsun",,
"Nicandra physalodes","Shoo-fly plant","pale blue ","orn","<2 wks @ 68 F, rapid germ.",-3,"thin",36,"Annual","fsun",,
"Solidago speciosa","Showy goldenrod","yellow","orn","<2 wks @ 50 F, rapid germ.",-9,"thin",12,"Perennial","fsun","2 to 4 ft tall, zone 5, not particular","sow heavily as only 5% of seeds develop"
"Caragana arborescens","Siberian peashrub","yellow","shrub","nick coat, 2 wks @ 39 F, move to 68 F",-9,"covr",120,"Perennial","fsun",,
"Cheiranthus allionii","Siberian wallflower","orange","orn","<2 wks @ 68 F, rapid germ.",-7,"thin",8,"Annual","fsun",,
"Bouteloua curtipendula","Sideoats grass",,"grass",">2 wks @ 68 F, slow  germ.",-6,"covr","clump","Perennial","fsun",,"zone 3, 24-36  inches"
"Eucalyptus cinerea","Silver dollar plant","pot plant","house","<2 wks @ 68 F, rapid germ.",-8,"thin",10,"Annual","psha","pot plant",
"Polygonum aubertii","Silver lace vine","white","vine","sow @ 39 F, germ @ 39 F",-15,"thin",10,"Perennial","fsun","rampant climber",
"Salvia argentea","Silver sage","white","herb","3-4 wks @ 68 Fin lite, if no germ., 2-4 wks @ 39 F, then 68 F ",-3,"surf",10,"hb","fsun","2 - 4 ft high in flwr, but it is best not to allow the plant to flower.","grow cool"
"Stipa calamagrostis","Silver spike grass",,"grass","sow @ 39 F, erratic, many months",-13,"cover","clump","Perennial","fsun","rich, well drained soil","zone 7"
"Tanacetum niveum","Silver tansy","white","orn","6 wks @ 39 F, move to 68 F in lite for germ. ",-5,"surf",12,"Perennial","fsun",,
"Scutellaria altissima","Skullcap","blue-violet","orn",">2 wks @ 68 F, slow germ.",-6,"thin",10,"Perennial","fsun",,
"Scutellaria baicalensis","Skullcap","blue","orn",">2 wks @ 68 F, slow germ.",-6,"thin",10,"Perennial","fsun",,
"Aster oolentangiensis","Sky blue aster","blue","orn","4 wks @ 39 F in moist sand, move to 68 F in lite for germ.",-9,"thin",12,"Perennial","fsun","many empty seeds, sow heavily, pinch, syn A. azurea","divide plants every 2 yrs to prevent decline"
"Penstemon cf. gracilis","Slender penstemon","lavender w/white bearded throad","orn","Sow barely covered 8 wks   @ 40 F (4 C), move to 60 F for germ. under light",-18,"thin",12,"Perennial","fsun","20"" , sparse, short lived, sandy to gravelly soils","cf. = akin to"
"Campanula divaricata","Small bonny bellflower",,"orn","<2 wks @ 68 F in lite, rapid germ.",-7,"surf",24,"Perennial","psha",,
"Camassia quamash","Small camas","violet blue","orn","sow @ 39 F, germ. erratic, often many months",-12,"thin",20,"Herbaceous perennial","fsun","favorite of grizzly bears","4 to 5 yrs to flower from seed"
"Scabiosa columbaria","Small scabious","purple or white","orn","sow @ 39 F, germ. erratic, often many months",-15,"thin",24,"Perennial","fsun","50-70 cm, bee plant",
"Solidago pinetorum","Small's goldenrod","yellow","orn","<2 wks @ 50 F, rapid germ.",-9,"thin",12,"Perennial","fsun",,
"Cotinus coggyria","Smokebush","purple","shrub","wash seed, 12 wks @ 39 F, move to 53  for germ.",-15,"thin",180,"Perennial","fsun","10x10', z4","Direct sow outdoors in fall = alternate meth."
"Eupatorium maculatum","Smokeweed","purple","orn","2-4 wks @ 68 F, 4-6 wks @ 39 , move to 53  for germ. in lite",-18,"surf",6,"Perennial","fsun",,"ID tentative?"
"Heliopsis scabra 'summer-sun'","Smooth oxeye","golden","orn","<2 wks @ 75 F, rapid germ.",-4,"thin",12,"Perennial","fsun","3-4 ft",
"Cimicifuga ramosa","Snakeroot","white","herb","16 wks @ 68 F, move to 39  indefinitely",-18,"covr",26,"Perennial","psha","5 to 8 ft high, deep loamy soil",
"Antirrhinum braun-blanquetti","Snapdragon","white/yel throat","orn","2-4 wks @ 68 F, 4-6 wks @ 39 , move to 53  for germ. in light",-8,"surf",8,"Perennial","fsun",,"grow cool, 45-50 & pinch"
"Antirrhinum majus  'el dorado'","Snapdragon","pink/yel/gold","orn","<2 wks @ 73 F in lite, rapid germ.",-8,"surf",6,"Annual","fsun","chill seed for several days before sowing","grow cool, 45-50 & pinch, PM shade"
"Helenium autumnale","Sneezeweed","red","orn","3-4 wks @ 68 F in lite, if no germ., 2-4 wks @ 39 , recycle",-5,"surf",12,"Perennial","fsun","bee plant to 4 ft.",
"Achillea ptarmica","Sneezewort","The pearl","orn","<2 wks @ 68 F in lite, rapid germ.",-7,"surf",10,"Perennial","fsun","mulch to protect from severe winters","divide clumps after 2 - 3 years, grow cool, 50"
"Cerastium biebersteinii","Snow in summer","white","orn","<2 wks @ 68 F, rapid germ.",-6,"thin","clump","Perennial","fsun","cover thin, grow cool, dry soil","mat forming to 6"" high"
"Cerastium tomentosum","Snow in summer","white","orn","<2 wks @ 65 F in lite, rapid germ.",-3,"surf",10,"Perennial","fsun","keep soil moist - fertilize sparingly","grow cool, 50-55"
"Euphorbia marginata","Snow on the mountain","white","orn","sow outdoors, <2 wks @ 68 F, rapid germ.",0,"covr",8,"Annual","fsun","sow seeds where plants are to grow",
"Centranthus ruber alba","Snowcloud valerian","white","orn",">2 wks @ 68 F, slow germ.",-6,"thin",8,"Perennial","fsun","cover thin","dry soil, esp. in winter"
"Luzula nivea","Snowy woodrush","white","grass","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-8,"thin","clump","Perennial","psha","moist, rich soils","zone 4"
"Saponaria ocymoides","Soapwort","pink","orn","<2 wks @ 68 F in dark, rapid germ.",-4,"covr",10,"Perennial","fsun",,"grow cool, 55-60"
"Juncus effusus","Soft rush",,"grass",,,,"clump","Perennial","psha","moist, peaty soils","zone 4"
